City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Landshut,DE,2021-10-02 00:22:32,48.5333,12.15,53.8,94,50,4.09
68,Longyearbyen,SJ,2021-10-02 00:21:18,78.2186,15.6401,39.04,75,75,16.11
69,Gwadar,PK,2021-10-02 00:22:33,25.1216,62.3254,81.97,78,100,32.19
70,Beinamar,TD,2021-10-02 00:22:34,8.6698,15.3813,72.82,88,80,4.14
71,Atuona,PF,2021-10-02 00:15:17,-9.8,-139.0333,78.22,71,46,20.07
72,Barrow,US,2021-10-02 00:19:59,71.2906,-156.7887,32.02,80,90,23.02
73,Platteville,US,2021-10-02 00:22:35,42.7342,-90.4785,77.61,60,1,6.91
74,Banjar,ID,2021-10-02 00:22:36,-8.19,114.9675,80.46,73,100,5.68
75,Selma,US,2021-10-02 00:22:36,36.5708,-119.6121,91.45,21,1,0.0
76,New Norfolk,AU,2021-10-02 00:19:50,-42.7826,147.0587,59.9,70,100,3.0
77,Ostrovnoy,RU,2021-10-02 00:20:47,68.0531,39.5131,39.38,83,72,11.74
78,Tahta,EG,2021-10-02 00:22:38,26.7693,31.5021,77.32,49,0,12.59
79,Amapa,BR,2021-10-02 00:22:39,1.0,-52.0,77.77,70,65,3.51
80,Mchinji,MW,2021-10-02 00:22:39,-13.7984,32.8802,67.26,64,1,5.79
81,Burns Lake,CA,2021-10-02 00:22:40,54.2331,-125.7533,44.02,64,100,8.55
82,Castro,BR,2021-10-02 00:20:10,-24.7911,-50.0119,56.71,93,100,2.48
83,Yellowknife,CA,2021-10-02 00:20:34,62.456,-114.3525,47.41,86,20,1.01
84,Kulhudhuffushi,MV,2021-10-02 00:22:41,6.6221,73.07,79.97,80,100,15.46
85,Yamada,JP,2021-10-02 00:22:42,39.4667,141.95,62.98,86,86,11.01
86,Arraial Do Cabo,BR,2021-10-02 00:22:42,-22.9661,-42.0278,70.59,92,70,17.69
87,Pangkalanbuun,ID,2021-10-02 00:22:43,-2.6833,111.6167,72.41,98,100,2.64
88,Chicama,PE,2021-10-02 00:22:43,-7.8447,-79.1469,59.54,80,44,6.11
89,Mayo,US,2021-10-02 00:20:17,38.8876,-76.5119,64.42,85,1,0.0
90,Busselton,AU,2021-10-02 00:19:49,-33.65,115.3333,56.05,77,30,14.34
91,Nioro,GM,2021-10-02 00:22:46,13.35,-15.75,79.07,87,65,5.28
92,Riyadh,SA,2021-10-02 00:20:22,24.6877,46.7219,77.14,16,50,4.52
93,Borisoglebskiy,RU,2021-10-02 00:22:46,57.2586,39.1508,40.64,92,25,3.89
94,Severo-Kurilsk,RU,2021-10-02 00:22:47,50.6789,156.125,51.46,96,100,11.83
95,Kysyl-Syr,RU,2021-10-02 00:22:48,63.8986,122.7617,32.68,66,26,5.7
96,Ilulissat,GL,2021-10-02 00:20:04,69.2167,-51.1,28.42,86,40,6.91
97,Mar Del Plata,AR,2021-10-02 00:16:25,-38.0023,-57.5575,53.87,57,0,1.01
98,Paamiut,GL,2021-10-02 00:20:55,61.994,-49.6678,39.69,66,80,9.98
99,Hermanus,ZA,2021-10-02 00:19:56,-34.4187,19.2345,54.9,78,66,10.69
100,Saskylakh,RU,2021-10-02 00:19:30,71.9167,114.0833,16.25,97,91,3.67
101,Daru,PG,2021-10-02 00:21:50,-9.0763,143.2092,83.05,72,84,5.95
102,Tuatapere,NZ,2021-10-02 00:22:50,-46.1333,167.6833,58.82,64,100,4.65
103,East London,ZA,2021-10-02 00:22:50,-33.0153,27.9116,62.24,84,99,12.1
104,Bandar-E Lengeh,IR,2021-10-02 00:22:51,26.5579,54.8807,84.31,94,67,4.61
105,Kapaa,US,2021-10-02 00:19:21,22.0752,-159.319,85.98,67,40,3.0
106,Tiksi,RU,2021-10-02 00:20:29,71.6872,128.8694,28.51,84,88,5.17
107,Faanui,PF,2021-10-02 00:22:52,-16.4833,-151.75,79.23,74,39,17.63
108,Kieta,PG,2021-10-02 00:22:53,-6.2167,155.6333,84.61,62,99,2.91
109,Saint-Paul,RE,2021-10-02 00:22:53,-21.0096,55.2707,69.89,71,30,5.86
110,Torbay,CA,2021-10-02 00:22:54,47.6666,-52.7314,55.89,99,90,12.66
111,Homnabad,IN,2021-10-02 00:22:54,17.7667,77.1333,72.09,92,15,4.92
112,Port Elizabeth,ZA,2021-10-02 00:21:13,-33.918,25.5701,57.09,89,31,11.68
113,Quatre Cocos,MU,2021-10-02 00:22:55,-20.2078,57.7625,72.09,72,90,13.0
114,Souillac,MU,2021-10-02 00:20:45,-20.5167,57.5167,72.36,78,75,6.91
115,Haines Junction,CA,2021-10-02 00:22:56,60.7522,-137.5108,39.15,87,100,3.44
116,Fortuna,US,2021-10-02 00:22:56,40.5982,-124.1573,79.2,68,1,1.99
117,Lavrentiya,RU,2021-10-02 00:22:57,65.5833,-171.0,29.55,71,47,15.46
118,Okhotsk,RU,2021-10-02 00:19:52,59.3833,143.3,36.01,89,46,0.85
119,Kahului,US,2021-10-02 00:22:58,20.8947,-156.47,89.62,56,20,25.32
120,Leh,IN,2021-10-02 00:22:58,34.1667,77.5833,51.66,63,3,5.5
121,Labuhan,ID,2021-10-02 00:19:32,-6.8844,112.2051,79.03,72,98,9.08
122,Chifeng,CN,2021-10-02 00:22:59,42.2683,118.9636,52.99,59,48,4.34
123,Mareeba,AU,2021-10-02 00:22:59,-17.0,145.4333,92.32,50,57,4.72
124,Pisco,PE,2021-10-02 00:23:00,-13.7,-76.2167,63.01,77,0,16.11
125,Cabinda,AO,2021-10-02 00:23:00,-5.55,12.2,75.87,85,98,6.8
126,Kaitangata,NZ,2021-10-02 00:20:40,-46.2817,169.8464,53.08,65,97,7.11
127,Nyurba,RU,2021-10-02 00:23:01,63.2842,118.3319,29.19,62,50,2.66
128,Bonavista,CA,2021-10-02 00:19:45,48.6499,-53.1147,56.12,98,100,13.13
129,Avarua,CK,2021-10-02 00:20:43,-21.2078,-159.775,78.85,78,100,4.61
130,Saldanha,ZA,2021-10-02 00:19:41,-33.0117,17.9442,51.85,78,4,11.72
131,Port Alfred,ZA,2021-10-02 00:19:56,-33.5906,26.891,60.33,86,51,12.33
132,Martapura,ID,2021-10-02 00:23:02,-3.4167,114.85,77.09,94,75,6.91
133,Colac,AU,2021-10-02 00:23:03,-38.3333,143.5833,59.16,91,94,6.4
134,Chokurdakh,RU,2021-10-02 00:23:03,70.6333,147.9167,11.07,90,30,2.01
135,Narsaq,GL,2021-10-02 00:23:04,60.9167,-46.05,35.82,48,3,2.86
136,Gornopravdinsk,RU,2021-10-02 00:23:04,60.05,69.9,31.82,96,97,7.65
137,Ahuimanu,US,2021-10-02 00:23:05,21.4447,-157.8378,87.51,63,20,12.66
138,Lebu,CL,2021-10-02 00:23:05,-37.6167,-73.65,47.07,89,100,16.28
139,Katangli,RU,2021-10-02 00:19:42,51.7102,143.2326,54.77,54,2,6.04
140,Campo Verde,BR,2021-10-02 00:23:06,-20.4167,-54.0667,72.61,47,75,2.53
141,Hithadhoo,MV,2021-10-02 00:19:33,-0.6,73.0833,82.0,72,77,7.4
142,Bethel,US,2021-10-02 00:18:09,41.3712,-73.414,58.5,84,1,3.44
143,Jamestown,US,2021-10-02 00:18:08,42.097,-79.2353,55.33,81,1,1.99
144,Leningradskiy,RU,2021-10-02 00:23:08,69.3833,178.4167,17.55,87,71,4.7
145,Kruisfontein,ZA,2021-10-02 00:23:08,-34.0033,24.7314,54.88,92,85,15.23
146,Gunjur,GM,2021-10-02 00:23:08,13.2019,-16.7339,78.87,94,75,0.0
147,Kirovskiy,RU,2021-10-02 00:23:09,45.0917,133.5136,52.74,59,5,1.79
148,Marawi,PH,2021-10-02 00:23:09,7.9986,124.2928,71.65,81,63,1.05
149,Gawler,AU,2021-10-02 00:23:10,-34.6,138.7333,61.25,75,15,8.99
150,Kyra,RU,2021-10-02 00:23:10,49.5776,111.9753,34.88,61,89,2.73
151,Beyneu,KZ,2021-10-02 00:23:11,45.3167,55.2,47.25,38,0,7.29
152,Andenes,NO,2021-10-02 00:23:12,69.3143,16.1194,51.08,66,90,12.66
153,Khatanga,RU,2021-10-02 00:23:13,71.9667,102.5,27.16,94,100,2.17
154,Dikson,RU,2021-10-02 00:19:40,73.5069,80.5464,31.48,80,100,17.78
155,Ribeira Grande,PT,2021-10-02 00:20:18,38.5167,-28.7,71.67,88,33,8.57
156,Imbituba,BR,2021-10-02 00:22:15,-28.24,-48.6703,73.29,93,100,4.05
157,Bilibino,RU,2021-10-02 00:21:01,68.0546,166.4372,10.33,88,28,3.6
158,Port Blair,IN,2021-10-02 00:18:42,11.6667,92.75,80.96,81,88,8.52
159,Pimentel,PE,2021-10-02 00:23:15,-6.8367,-79.9342,63.32,90,33,15.88
160,Bathsheba,BB,2021-10-02 00:21:08,13.2167,-59.5167,81.21,74,75,24.16
161,Acapulco,MX,2021-10-02 00:14:55,16.8634,-99.8901,85.82,74,40,0.0
162,Cardston,CA,2021-10-02 00:18:47,49.2,-113.3019,62.89,25,35,1.14
163,Saint Anthony,US,2021-10-02 00:23:16,45.0205,-93.218,75.92,73,20,4.61
164,Tutoia,BR,2021-10-02 00:23:17,-2.7619,-42.2744,79.29,83,29,10.6
165,Miri,MY,2021-10-02 00:23:17,4.4148,114.0089,75.34,100,40,8.05
166,Sorong,ID,2021-10-02 00:23:18,-0.8833,131.25,79.0,86,100,7.76
167,Graciano Sanchez,MX,2021-10-02 00:23:19,23.9167,-99.2833,77.95,85,82,5.46
168,Coxim,BR,2021-10-02 00:23:19,-18.5067,-54.76,84.81,47,27,2.51
169,Matay,EG,2021-10-02 00:23:20,28.419,30.7792,70.57,68,0,13.76
170,Port Hardy,CA,2021-10-02 00:23:20,50.6996,-127.4199,53.78,87,90,8.05
171,Mazagao,BR,2021-10-02 00:23:21,-0.115,-51.2894,87.85,78,39,7.43
172,Panguna,PG,2021-10-02 00:23:21,-6.3164,155.4848,82.63,54,100,1.14
173,Magadan,RU,2021-10-02 00:23:21,59.5667,150.8,39.56,94,94,2.46
174,Dilla,ET,2021-10-02 00:23:22,6.41,38.31,62.67,98,100,2.26
175,Ponta Do Sol,PT,2021-10-02 00:20:17,32.6667,-17.1,72.23,74,2,6.04
176,Kupang,ID,2021-10-02 00:18:33,-10.1667,123.5833,83.14,65,98,2.8
177,Murud,IN,2021-10-02 00:23:23,18.3258,72.965,77.76,91,100,3.2
178,Belle Fourche,US,2021-10-02 00:23:24,44.6714,-103.8522,70.45,29,48,6.98
179,Kirakira,SB,2021-10-02 00:23:25,-10.4544,161.9205,84.81,67,99,4.47
180,Ahipara,NZ,2021-10-02 00:20:51,-35.1667,173.1667,61.38,53,1,3.94
181,Genhe,CN,2021-10-02 00:23:25,50.7833,121.5167,33.73,82,90,0.47
182,Mount Pleasant,US,2021-10-02 00:23:22,32.7941,-79.8626,77.0,81,1,3.0
183,Ancud,CL,2021-10-02 00:23:26,-41.8697,-73.8203,44.13,81,100,16.8
184,Saint-Pierre,RE,2021-10-02 00:20:33,-21.3393,55.4781,69.44,69,0,4.61
185,La Orilla,MX,2021-10-02 00:23:27,17.9833,-102.2333,82.17,79,85,2.77
186,Clyde River,CA,2021-10-02 00:21:12,70.4692,-68.5914,33.08,82,79,5.28
187,Yulara,AU,2021-10-02 00:21:14,-25.2406,130.9889,87.64,8,1,24.16
188,Tessalit,ML,2021-10-02 00:23:28,20.1986,1.0114,86.29,12,53,9.64
189,Oktyabrskiy,RU,2021-10-02 00:23:28,54.4815,53.471,47.16,82,100,6.06
190,Salalah,OM,2021-10-02 00:20:26,17.0151,54.0924,80.69,89,75,5.75
191,Roebourne,AU,2021-10-02 00:23:29,-20.7833,117.1333,71.24,51,56,21.14
192,Nanortalik,GL,2021-10-02 00:20:34,60.1432,-45.2371,39.06,52,1,4.68
193,Iquique,CL,2021-10-02 00:21:04,-20.2208,-70.1431,60.84,76,51,2.37
194,Cabo San Lucas,MX,2021-10-02 00:19:54,22.8909,-109.9124,88.9,67,20,1.99
195,Mahebourg,MU,2021-10-02 00:23:30,-20.4081,57.7,72.25,78,75,6.91
196,Yumen,CN,2021-10-02 00:20:56,40.2833,97.2,50.13,55,75,18.05
197,Ratnapura,LK,2021-10-02 00:23:31,6.6828,80.3992,73.18,94,100,1.3
198,Bjornevatn,NO,2021-10-02 00:23:31,69.6672,29.9847,43.14,81,90,9.22
199,Kavieng,PG,2021-10-02 00:20:13,-2.5744,150.7967,84.25,64,100,3.74
200,Amazar,RU,2021-10-02 00:23:32,53.858,120.875,35.08,63,24,1.52
201,Garissa,KE,2021-10-02 00:23:33,-0.4536,39.6401,73.81,72,74,15.12
202,Rorvik,NO,2021-10-02 00:23:33,64.8621,11.2373,56.64,72,100,25.57
203,Rio Gallegos,AR,2021-10-02 00:20:53,-51.6226,-69.2181,39.25,41,0,14.97
204,Chuy,UY,2021-10-02 00:20:55,-33.6971,-53.4616,52.23,87,1,6.53
205,Murchison,NZ,2021-10-02 00:23:34,-41.8,172.3333,60.49,50,97,3.69
206,Komsomolskiy,UZ,2021-10-02 00:21:05,40.4272,71.7189,57.92,35,90,4.61
207,Richmond,US,2021-10-02 00:21:16,37.5538,-77.4603,63.66,87,20,0.0
208,Istok,XK,2021-10-02 00:23:35,42.7808,20.4875,46.17,76,16,2.77
209,Vangaindrano,MG,2021-10-02 00:23:36,-23.35,47.6,66.22,93,4,5.73
210,Madimba,TZ,2021-10-02 00:23:36,-10.4,40.3333,72.28,86,2,5.08
211,Tromso,NO,2021-10-02 00:23:37,69.6496,18.957,52.45,62,40,9.22
212,Beloha,MG,2021-10-02 00:23:37,-25.1667,45.05,71.35,61,0,1.88
213,Rio Grande,BR,2021-10-02 00:23:38,-32.035,-52.0986,56.95,85,31,13.18
214,Xuddur,SO,2021-10-02 00:23:38,4.1213,43.8894,71.11,82,97,12.21
215,San Patricio,US,2021-10-02 00:20:27,28.017,-97.5169,80.47,75,96,12.21
216,Mojo,ET,2021-10-02 00:23:39,8.6,39.1167,60.53,82,89,3.56
217,Sengiley,RU,2021-10-02 00:23:40,53.9622,48.7944,46.47,87,96,7.18
218,Hualmay,PE,2021-10-02 00:23:40,-11.0964,-77.6139,63.12,81,28,10.83
219,Tricase,IT,2021-10-02 00:23:40,39.9304,18.3553,60.15,64,0,8.52
220,Aklavik,CA,2021-10-02 00:23:41,68.2191,-135.0107,36.43,99,99,3.69
221,La Ciotat,FR,2021-10-02 00:23:41,43.1748,5.6045,67.8,72,100,3.83
