City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
112,Nishihara,JP,83.86,few clouds,26.1842,127.7558,Minshuku Agaihama
115,Kainantu,PG,71.91,overcast clouds,-6.2887,145.8655,Sylvester buku
116,Fuerte Olimpo,PY,86.94,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
117,Bathurst,AU,57.85,broken clouds,-33.4166,149.5806,Bathurst Motor Inn
118,Brainerd,US,64.69,overcast clouds,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
119,Nantucket,US,66.99,few clouds,41.2835,-70.0995,Jared Coffin House
123,Cape Town,ZA,52.12,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
125,Diofior,SN,70.72,scattered clouds,14.1833,-16.6667,Souimanga Lodge
128,Buraydah,SA,81.05,clear sky,26.326,43.975,فندق راحة السلام
131,Georgetown,MY,80.53,haze,5.4112,100.3354,Cititel Penang
133,Port Blair,IN,80.37,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
134,Quelimane,MZ,76.24,clear sky,-17.8786,36.8883,Hotel Flamingo
136,La Ronge,CA,59.25,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
137,Barra Do Corda,BR,77.92,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
139,Yoichi,JP,63.82,scattered clouds,43.2039,140.7703,Marumatta Farm 21
143,Saldanha,ZA,54.46,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
144,Port Hardy,CA,50.54,overcast clouds,50.6996,-127.4199,Airport Inn
146,Lagunas,PE,80.11,broken clouds,-5.2269,-75.6753,Hospedaje Eco
147,San Lawrenz,MT,71.85,few clouds,36.0553,14.204,San Andrea Hotel
149,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
151,Samana,DO,77.7,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
153,Pisco,PE,62.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
154,Faanui,PF,79.45,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
155,Rantauprapat,ID,74.75,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
156,Zaraza,VE,75.54,moderate rain,9.3503,-65.3245,Hotel Zaraza
157,Tuatapere,NZ,55.81,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
158,Sorland,NO,52.03,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
159,Iberia,US,78.78,light rain,29.9502,-91.7507,back to back rv park
160,Umm Lajj,SA,80.87,clear sky,25.0213,37.2685,Moon light Furnished Units
163,Qaqortoq,GL,55.9,clear sky,60.7167,-46.0333,Hotel Qaqortoq
164,Mehamn,NO,50.61,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
166,Victoria,HK,84.38,scattered clouds,22.2855,114.1577,Mini Hotel Central
167,Urambo,TZ,77.22,overcast clouds,-5.0667,32.05,Fair Lodge
168,Cururupu,BR,75.56,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
170,Ramonville-Saint-Agne,FR,70.45,clear sky,43.5462,1.4749,Comfort Hotel Toulouse Sud
171,San Antonio,US,85.75,broken clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
175,San Andres,CO,83.48,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
176,Saint-Joseph,RE,68.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
177,Leo,BF,76.84,few clouds,11.1,-2.1,Hotel Sissilis
178,Vallenar,CL,64.83,scattered clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
179,Salaga,GH,75.02,light rain,8.5508,-0.5188,Bore Nada Guest House
180,Byron Bay,AU,81.05,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
181,Hamilton,US,74.95,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
182,Rocha,UY,52.54,light rain,-34.4833,-54.3333,Beleza Pura B&B
183,Vangaindrano,MG,66.49,scattered clouds,-23.35,47.6,Hotel Fanilo
185,Racale,IT,69.04,scattered clouds,39.9631,18.0938,B&B Gallipoli Salento al mare
186,Utiel,ES,64.18,overcast clouds,39.5667,-1.2,Hotel Restaurante El Tollo
187,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
190,Mattru,SL,72.86,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
191,Herbertpur,IN,72.0,clear sky,30.45,77.7333,SPOT ON 78849 Ambience Hotel
192,Fortuna,US,63.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
195,Bomet,KE,57.76,overcast clouds,-0.7813,35.3416,Mosop Annex club
196,Ingham,US,66.38,overcast clouds,42.6,-84.3833,Sunset Mobile Home Park
197,Hasaki,JP,73.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
198,Vinh Long,VN,78.78,overcast clouds,10.25,105.9667,Phuong Thao Homestay
199,Hilo,US,82.26,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
201,Airai,TL,71.11,scattered clouds,-8.9266,125.4092,Juvinal Martin
